Processed in Sink as enumerable: (UserId, user:6766; photo:40565; lat:4; long:19, 1642352926782)
Processed in Sink as enumerable: (UserId, user:6686; photo:40565; lat:; long:, 1642352926782)
Processed in Sink as enumerable: (UserId, user:6736; photo:40565; lat:; long:, 1642352926782)
Processed in Sink as enumerable: (UserId, user:6737; photo:40565; lat:; long:, 1642352926782)
Processed in Sink as enumerable: (UserId, user:6823; photo:40565; lat:; long:, 1642352926782)
Processed in Sink as enumerable: (UserId, user:6824; photo:40565; lat:; long:, 1642352926782)
Processed in Sink as enumerable: (UserId, user:6825; photo:40565; lat:; long:, 1642352926782)
Processed in Sink as enumerable: (UserId, user:6479; photo:40565; lat:; long:, 1642352926782)
Processed in Sink as enumerable: (UserId, user:6482; photo:40565; lat:; long:, 1642352926782)
Processed in Sink as enumerable: (UserId, user:274; photo:189742; lat:53; long:13, 1642352927076)
Processed in Sink as enumerable: (UserId, user:143; photo:189742; lat:; long:, 1642352927076)
Processed in Sink as enumerable: (UserId, user:147; photo:189742; lat:; long:, 1642352927076)
Processed in Sink as enumerable: (UserId, user:3732; photo:166618; lat:-5.05; long:122.88333, 1642352927080)
Processed in Sink as enumerable: (UserId, user:3606; photo:166618; lat:; long:, 1642352927080)
Processed in Sink as enumerable: (UserId, user:3712; photo:166618; lat:; long:, 1642352927080)
Processed in Sink as enumerable: (UserId, user:3788; photo:166618; lat:; long:, 1642352927080)
Processed in Sink as enumerable: (UserId, user:3236; photo:62932; lat:23.8; long:88.25, 1642352927087)
Processed in Sink as enumerable: (UserId, user:3172; photo:62932; lat:; long:, 1642352927087)
Processed in Sink as enumerable: (UserId, user:3219; photo:62932; lat:; long:, 1642352927087)
Processed in Sink as enumerable: (UserId, user:3220; photo:62932; lat:; long:, 1642352927087)
Processed in Sink as enumerable: (UserId, user:3263; photo:62932; lat:; long:, 1642352927087)
Processed in Sink as enumerable: (UserId, user:3265; photo:62932; lat:; long:, 1642352927087)
Processed in Sink as enumerable: (UserId, user:3268; photo:62932; lat:; long:, 1642352927087)
Processed in Sink as enumerable: (UserId, user:3269; photo:62932; lat:; long:, 1642352927087)
Processed in Sink as enumerable: (UserId, user:3128; photo:62932; lat:; long:, 1642352927087)
Processed in Sink as enumerable: (UserId, user:3183; photo:62932; lat:; long:, 1642352927087)
Processed in Sink as enumerable: (UserId, user:6391; photo:72240; lat:31.816668; long:91.78333, 1642352927102)
Processed in Sink as enumerable: (UserId, user:6349; photo:72240; lat:; long:, 1642352927102)
Processed in Sink as enumerable: (UserId, user:6350; photo:72240; lat:; long:, 1642352927102)
Processed in Sink as enumerable: (UserId, user:6473; photo:72240; lat:; long:, 1642352927102)
Processed in Sink as enumerable: (UserId, user:6474; photo:72240; lat:; long:, 1642352927102)
Processed in Sink as enumerable: (UserId, user:6478; photo:72240; lat:; long:, 1642352927102)
Processed in Sink as enumerable: (UserId, user:7720; photo:68260; lat:16.692778; long:121.548615, 1642352927111)
Processed in Sink as enumerable: (UserId, user:7711; photo:68260; lat:; long:, 1642352927111)
Processed in Sink as enumerable: (UserId, user:7712; photo:68260; lat:; long:, 1642352927111)
Processed in Sink as enumerable: (UserId, user:7714; photo:68260; lat:; long:, 1642352927111)
Processed in Sink as enumerable: (UserId, user:7731; photo:68260; lat:; long:, 1642352927111)
Processed in Sink as enumerable: (UserId, user:7732; photo:68260; lat:; long:, 1642352927111)
Processed in Sink as enumerable: (UserId, user:7733; photo:68260; lat:; long:, 1642352927111)
Processed in Sink as enumerable: (UserId, user:7734; photo:68260; lat:; long:, 1642352927111)
Processed in Sink as enumerable: (UserId, user:707; photo:111276; lat:-3.2241666; long:29.43389, 1642352927120)
Processed in Sink as enumerable: (UserId, user:974; photo:111276; lat:; long:, 1642352927120)
Processed in Sink as enumerable: (UserId, user:986; photo:111276; lat:; long:, 1642352927120)
Processed in Sink as enumerable: (UserId, user:991; photo:111276; lat:; long:, 1642352927120)
Processed in Sink as enumerable: (UserId, user:997; photo:111276; lat:; long:, 1642352927120)
Processed in Sink as enumerable: (UserId, user:1000; photo:111276; lat:; long:, 1642352927120)
Processed in Sink as enumerable: (UserId, user:1321; photo:131541; lat:8.25; long:40.133335, 1642352927152)
Processed in Sink as enumerable: (UserId, user:1315; photo:131541; lat:; long:, 1642352927152)
Processed in Sink as enumerable: (UserId, user:1333; photo:131541; lat:; long:, 1642352927152)
Processed in Sink as enumerable: (UserId, user:4066; photo:131541; lat:; long:, 1642352927152)
Processed in Sink as enumerable: (UserId, user:4482; photo:131541; lat:; long:, 1642352927152)
Processed in Sink as enumerable: (UserId, user:4505; photo:131541; lat:; long:, 1642352927152)
Processed in Sink as enumerable: (UserId, user:9231; photo:131541; lat:; long:, 1642352927152)
Processed in Sink as enumerable: (UserId, user:9382; photo:131541; lat:; long:, 1642352927152)
Processed in Sink as enumerable: (UserId, user:550; photo:76993; lat:-15; long:28, 1642352927163)
Processed in Sink as enumerable: (UserId, user:1197; photo:24766; lat:32; long:51, 1642352927164)
Processed in Sink as enumerable: (UserId, user:1555; photo:24766; lat:; long:, 1642352927164)
Processed in Sink as enumerable: (UserId, user:9607; photo:56022; lat:40; long:48, 1642352927166)
Processed in Sink as enumerable: (UserId, user:9708; photo:56022; lat:; long:, 1642352927166)
Processed in Sink as enumerable: (UserId, user:9709; photo:56022; lat:; long:, 1642352927166)
Processed in Sink as enumerable: (UserId, user:5725; photo:56022; lat:; long:, 1642352927166)
Processed in Sink as enumerable: (UserId, user:5748; photo:56022; lat:; long:, 1642352927166)
Processed in Sink as enumerable: (UserId, user:5931; photo:56022; lat:; long:, 1642352927166)
Processed in Sink as enumerable: (UserId, user:7595; photo:56022; lat:; long:, 1642352927166)
Processed in Sink as enumerable: (UserId, user:7756; photo:56022; lat:; long:, 1642352927166)
Processed in Sink as enumerable: (UserId, user:8085; photo:56022; lat:; long:, 1642352927166)
Processed in Sink as enumerable: (UserId, user:5342; photo:17979; lat:30.181173; long:67.03308, 1642352927187)
Processed in Sink as enumerable: (UserId, user:5274; photo:17979; lat:; long:, 1642352927187)
Processed in Sink as enumerable: (UserId, user:5275; photo:17979; lat:; long:, 1642352927187)
Processed in Sink as enumerable: (UserId, user:5324; photo:17979; lat:; long:, 1642352927187)
Processed in Sink as enumerable: (UserId, user:5325; photo:17979; lat:; long:, 1642352927187)
Processed in Sink as enumerable: (UserId, user:5375; photo:17979; lat:; long:, 1642352927187)
Processed in Sink as enumerable: (UserId, user:5135; photo:17979; lat:; long:, 1642352927187)
Processed in Sink as enumerable: (UserId, user:5251; photo:17979; lat:; long:, 1642352927187)
Processed in Sink as enumerable: (UserId, user:5254; photo:17979; lat:; long:, 1642352927187)
Processed in Sink as enumerable: (UserId, user:8291; photo:110387; lat:12; long:105, 1642352927201)
Processed in Sink as enumerable: (UserId, user:5353; photo:100043; lat:25.5; long:69.22, 1642352927202)
Processed in Sink as enumerable: (UserId, user:5159; photo:100043; lat:; long:, 1642352927202)
Processed in Sink as enumerable: (UserId, user:5254; photo:100043; lat:; long:, 1642352927202)
Processed in Sink as enumerable: (UserId, user:4387; photo:187189; lat:24.766666; long:125.316666, 1642352927207)
